kf, mse, mae, mape, r2, acc, bal_acc
1,0.00030638179115608573,0.011442137781195095,0.016459043502548946,0.8086821681880071,0.8,0.8333333333333334
1,0.0005747799452005079,0.020019353065087907,0.029441211307069524,0.6410829361959196,0.6,0.6666666666666666
1,0.00054031836893087,0.018750715884759538,0.02724278359010467,0.6626022113064038,0.6,0.6666666666666666
1,0.001406793888855447,0.026097448742962624,0.03713618168523952,0.12153801436237943,0.8,0.8333333333333334
1,0.001447775359217985,0.03002208534200441,0.043654182563734434,0.09594743985518261,0.6,0.6666666666666666
2,0.0016191123684794605,0.0300872118940674,0.04199662086016211,0.5633018438217259,0.6,0.6666666666666666
2,0.0024772953307076956,0.040214102858575476,0.057638920723664167,0.33183741642029085,0.6,0.6666666666666666
2,0.002368571762000152,0.039577491301568624,0.05690064651118458,0.3611617443125513,0.4,0.5
2,0.004597117710156487,0.061078364867242455,0.09052729557159467,-0.23990951267030258,0.4,0.3333333333333333
2,0.0018761188840526923,0.033365119837793,0.04853441385775899,0.49398344834678143,0.6,0.6666666666666666
3,0.0014245333863324582,0.030698545472479234,0.04485234061775791,0.05759383564359455,0.4,0.3333333333333333
3,0.0010341503950071773,0.02664155532584227,0.039419328363335435,0.31585337593560237,0.8,0.8333333333333334
3,0.0012318540379259494,0.02949102689490355,0.04347749289149615,0.18506168401039413,0.2,0.16666666666666666
3,0.0004079226947327358,0.014619136254644772,0.021982869047894742,0.7301369937795981,0.8,0.8333333333333334
3,0.0006514267010283515,0.024162180917120347,0.03622981897288538,0.5690458752560248,0.4,0.3333333333333333
4,0.0006641258192671016,0.024157409387207028,0.03581216280461599,0.7745769629119519,0.4,0.5
4,0.0003200189587776305,0.015257247506085193,0.022668221555203687,0.8913765381189089,0.8,0.8333333333333334
4,0.0005951275579802511,0.02417107077178955,0.03612164340625886,0.7979969191338632,0.4,0.5
4,0.0008235116049898402,0.024145926131799313,0.03488759669914453,0.720476931195169,0.6,0.6666666666666666
4,0.0006149328646115395,0.02410954685745239,0.03621536545116892,0.7912744393841495,0.4,0.5
5,0.0007759298644224673,0.02238103809665528,0.03275797946928555,0.562695144505868,0.4,0.5
5,0.000563116269943072,0.019560828771862805,0.029555935484986546,0.6826343586644409,0.6,0.5
5,0.0007445912469432557,0.022291345027197273,0.033039124986261395,0.5803572170932312,0.6,0.6666666666666666
5,0.00035875981202676153,0.016157311824072273,0.023592149096049203,0.7978072311055615,0.8,0.8333333333333334
5,0.00041645565951057466,0.015487419188293527,0.022136617594594322,0.7652905367451764,0.6,0.6666666666666666
6,0.0021054739015750933,0.03937490267400514,0.05661167871351833,-0.34905298128901174,0.2,0.3333333333333333
6,0.0011875267363132738,0.027391683063354468,0.038917539542940166,0.23910883778452086,0.6,0.6666666666666666
6,0.0009314771724981805,0.027041160729193093,0.03973259363545059,0.4031690178532894,0.4,0.3333333333333333
6,0.0007769732919116893,0.026128554013037087,0.038062063537931644,0.502165220356678,0.6,0.6666666666666666
6,0.00154423099192388,0.032096412607476824,0.047620742945774085,0.010555570460725638,0.4,0.3333333333333333
7,0.001397259925738476,0.02813623485172121,0.042758516336059635,-0.12287434035190081,0.6,0.6666666666666666
7,0.0021698055177108867,0.040006177993658465,0.06146009421211164,-0.7437120284572944,0.6,0.6666666666666666
7,0.0017752105877716015,0.034693120195727546,0.05382861380867181,-0.426605301569952,0.4,0.5
7,0.0009662573255911748,0.02708720989451905,0.04138161697712319,0.22349053522740336,0.4,0.5
7,0.0018471855996407681,0.03763600416408082,0.05731321876678082,-0.4844462891240009,0.4,0.5
8,0.001741089280435855,0.024802344493878126,0.03517688749150645,0.1857911439613087,0.8,0.6666666666666666
8,0.0014745486273773961,0.026160328153576672,0.03718063345214664,0.31043711281145636,0.6,0.5
8,0.000567566315227598,0.021130066566479443,0.03133129997939083,0.7345813764749194,0.6,0.5
8,0.0009704719115946559,0.02550605906039425,0.03690631724919079,0.5461652461846411,0.6,0.5
8,0.0011030897489844043,0.0259890401700134,0.03740783084575957,0.48414739397869255,0.6,0.5
